exclude,Film,Major Studio,Rotten Tomatoes,Audience Score,Story,Genre,Number of Theatres in Opening Weekend,Box Office Average per Cinema,Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Market Profitability,Opening Weekend Revenue,Oscar
,Average,,46.34,58.74,,,2719.68,7373.23,59.62,75.72,124.34,50.19,3.37,19.60,
,"10,000 B.C.",Warner Bros.,9,44,Rescue,Adventure,3410,10518,94.78,175.00,269.10,105.00,2.5629,35.9,
,27 Dresses,Fox,40,71,Love,Comedy,3057,7526,76.81,83.50,160.30,30.00,5.3433,23.01,
,Australia,Fox,55,69,Fish Out of Water,Adventure,2642,5602,46.69,161.80,129.40,78.00,1.6590,14.8,
,Baby Mama,Independent,63,59,Discovery,Comedy,2543,6845,60.32,3.70,63.90,70.00,0.9129,17.41,
,Bedtime Stories,Disney,25,63,rivalry,Comedy,3681,7457,85.35,102.77,85.40,80.00,1.0675,27.5,
,Beverly Hills Chihuahua,Disney,41,56,Journey and Return,Adventure,3215,9114,93.12,54.76,116.00,20.00,5.8000,29.3,
,Body of Lies,Warner Bros.,53,65,Temptation,Action,2710,4754,39.19,75.70,17.50,67.50,0.2593,12.9,
,Bolt,Disney,89,76,rescue,Animation,3651,7182,109.90,195.93,289.30,150.00,1.9287,26.2,
,Burn After Reading,Relativity Media,78,64,Comedy,Comedy,2651,7215,60.36,103.36,154.80,37.00,4.1838,19.13,
,Changeling,Independent,62,84,quest,Drama,,,35.69,77.28,66.90,55.00,1.2164,9.4,
,City of Ember,Independent,52,48,escape,Adventure,,,7.84,3.94,11.78,38.00,0.3100,3.13,
,Cloverfield,Paramount,77,67,Monster Force,Action,3411,11744,80.05,90.72,170.80,25.00,6.8320,40.1,
,Death Race,Universal,42,69,escape,Action,2532,4985,36.10,75.67,73.80,65.00,1.1354,12.62,
,"Definitely, Maybe",Universal,71,72,Discovery,Comedy,2204,4430,32.01,23.20,55.00,7.00,7.8571,9.76,
,Disaster Movie,Lionsgate,2,28,Rescue,Comedy,2642,2209,14.19,20.62,34.50,20.00,1.7250,5.8,
,Doomsday,Relativity Media,48,47,Quest,Action,1936,2544,11.01,11.20,21.60,33.00,0.6545,4.9,
,Doubt,Independent,78,75,riddle,Drama,,,18.73,17.46,18.70,25.00,0.7480,5.3,
,Dr. Seuss' Horton Hears a Who!,Fox,79,75,rescue,Animation,3954,11384,154.53,142.60,297.00,85.00,3.4941,45,
,Drillbit Taylor,Paramount,26,49,Comedy,Comedy,3056,3373,32.86,16.82,49.70,40.00,1.2425,10.3,
