exclude,Film,Major Studio,Rotten Tomatoes,Audience Score,Story,Genre,Number of Theatres in Opening Weekend,Box Office Average per Cinema,Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Market Profitability,Opening Weekend Revenue,Oscar
,Eagle Eye,Paramount,27,72,pursuit,Action,3510,8305,101.18,76.62,175.90,80.00,2.1988,29.2,
,Fireproof,Independent,40,51,love,Drama,839,8148,33.45,0.02,33.45,0.50,66.9000,6.84,
,First Sunday,Independent,13,59,Comedy,Comedy,2213,8004,37.93,0.87,38.80,13.00,2.9846,17.7,
,Fly Me to the Moon,Independent,18,26,Journey and Return,Animation,,,12.42,27.90,32.60,25.00,1.3040,1.9,
,Fool's Gold,Warner Bros.,11,53,Quest,Adventure,3125,6909,70.23,,110.60,72.50,1.5255,21.6,
,Forgetting Sarah Marshall,Independent,85,75,maturation,Comedy,2798,6791,62.93,42.00,104.80,30.00,3.4933,17.73,
,Four Christmases,Warner Bros.,26,52,love,Comedy,,,118.25,43.58,149.60,80.00,1.8700,31.07,
,Get Smart,Warner Bros.,51,73,Pursuit,Action,3911,9891,130.32,100.37,230.50,80.00,2.8813,38.7,
,Ghost Town,Paramount,85,60,transformation,Comedy,1505,3330,13.25,13.71,24.00,20.00,1.2000,5.01,
,Gran Torino,Independent,80,90,Temptation,Drama,,,148.10,114.25,262.34,167.00,1.5709,29.48,
,Hancock,Sony,40,67,Discovery,Action,3965,15789,227.95,396.44,624.40,150.00,4.1627,62.6,
,Harold and Kumar Escape from Guantanamo Bay,Warner Bros.,54,65,escape,Adventure,2510,5939,38.11,5.38,43.30,12.00,3.6083,14.91,
,Hellboy II: The Golden Army,Universal,87,70,sacrifice,Action,3204,10780,75.79,84.40,158.90,82.50,1.9261,34.5,
,High School Musical 3: Senior Year,Disney,65,76,love,Comedy,3623,11601,89.70,162.35,240.70,11.00,21.8818,42.03,
,Igor,Independent,36,42,Temptation,Animation,2339,,19.44,11.22,27.60,30.00,0.9200,7.8,
,In Bruges,Independent,81,85,Fish Out of Water,Crime,,,7.80,25.59,32.00,15.00,2.1333,0.46,
,Indiana Jones and the Kingdom of the Crystal Skull,Paramount,77,59,Pursuit,Action,4260,23507,317.02,469.53,786.60,185.00,4.2519,100.1,
,Iron Man,Paramount,94,91,Metamorphosis,Action,4105,24024,318.31,266.76,581.90,186.00,3.1285,98.62,
,Journey to the Center of the Earth,Warner Bros.,61,55,Quest,Action,2811,7477,101.70,140.29,220.70,45.00,4.9044,21,
,Jumper,Fox,16,50,Rescue,Action,3428,7980,80.17,142.06,222.20,82.50,2.6933,27.4,
,Kit Kittredge: An American Girl,Warner Bros.,78,26,riddle,Drama,,,17.66,N/A,17.70,10.00,1.7700,3.3,
,Kung Fu Panda,Paramount,88,83,Underdog,Animation,4114,14642,215.43,416.31,631.90,200.00,3.1595,60.24,
,Lakeview Terrace,Sony,46,44,rivalry,Crime,2464,6090,39.26,5.39,43.80,20.00,2.1900,15,
,Leatherheads,Universal,52,41,Rivalry,Comedy,2769,4580,31.23,9.93,41.00,58.00,0.7069,12.7,
,Mad Money,Independent,22,51,Comedy,Comedy,2470,3132,20.67,5.74,26.10,22.00,1.1864,7.74,
,Madagascar: Escape 2 Africa,Paramount,64,73,Journey and Return,Animation,4056,1559,176.93,423.89,462.30,150.00,3.0820,63.11,
,Made of Honor,Sony,13,61,Love,Comedy,2729,5407,46.01,59.95,106.00,40.00,2.6500,14.76,
,Mamma Mia!,Universal,53,76,Love,Comedy,2976,9325,143.76,465.71,572.20,66.00,8.6697,27.75,
,Marley and Me,Fox,63,77,love,Comedy,3480,10448,106.51,99.56,111.80,55.00,2.0327,36.36,
,Max Payne,Fox,16,36,Revenge,Action,3376,5225,40.66,44.73,84.20,35.00,2.4057,17.6,
,Meet Dave,Fox,19,42,Fish Out of Water,Adventure,3011,1744,11.80,38.85,50.50,60.00,0.8417,5.25,
,Meet the Spartans,Independent,2,31,comedy,Comedy,2605,7104,38.23,46.41,84.60,30.00,2.8200,18.51,
,Milk,Universal,94,88,quest,Biography,36,40385,31.84,18.32,50.16,20.00,2.5080,1.5,"Best Actor, Original Screenplay"
,Mirrors,Independent,14,49,monster force,Horror,2664,4190,30.69,46.80,73.40,35.00,2.0971,11.2,
,Miss Pettigrew Lives for a Day,Independent,78,70,Love,Comedy,535,4655,12.31,2.86,15.17,60.00,0.2528,2.49,
,My Best Friend's Girl,Lionsgate,14,51,Comedy,Comedy,2604,3174,19.22,22.40,36.20,20.00,1.8100,8.27,
,Nim's Island,Independent,51,50,rescue,Adventure,3513,3760,48.01,52.07,99.90,37.00,2.7000,13.2,
,Penelope,Summit,52,74,love,Comedy,,,10.01,10.73,20.75,15.00,1.3833,3.8,
,Pineapple Express,Sony,68,74,Comedy,Action,3072,7567,87.34,14.28,101.50,26.00,3.9038,23.2,
,Pride & Glory,Warner Bros.,34,54,Temptation,Crime,2585,2423,15.74,15.41,23.80,30.00,0.7933,6.26,
,Prom Night,Independent,8,46,escape,Horror,2700,7705,43.87,,57.20,18.00,3.1778,20.81,
,Punisher: War Zone,Lionsgate,27,47,Revenge,Action,2508,1703,8.05,0.15,8.19,30.00,0.2730,4.3,
,Quantum of Solace,MGM,64,62,Revenge,Action,3451,19568,166.80,,567.00,230.00,2.4652,67.5,
,Quarantine,Sony,59,46,Monster Force,Horror,2461,5775,31.69,,37.20,12.00,3.1000,14.2,
,Rachel Getting Married,Independent,85,61,love,Drama,,,10.33,0.53,10.86,12.00,0.9047,0.29,
,Rambo,Lionsgate,36,70,Rescue,Action,2751,6617,42.75,,113.20,47.50,2.3832,18.2,
,Role Models,Universal,77,75,Discovery,Comedy,2792,6865,66.69,25.09,66.70,28.00,2.3821,19.17,
,Saw V,Independent,13,63,Monster Force,Crime,3030,9822,56.75,57.12,103.60,10.80,9.5926,30.1,
,Semi-Pro,Warner Bros.,21,41,underdog,Comedy,3121,4830,33.48,10.41,43.90,2.60,16.8846,15.08,
,Sex and the City,Warner Bros.,49,81,love,Comedy,3285,17363,152.65,262.61,415.10,57.50,7.2191,57.04,
,Sex Drive,Summit,46,61,Journey and Return,Adventure,2421,1490,8.40,2.01,10.41,19.00,0.5479,3.61,
,Slumdog Millionaire,Independent,94,90,Underdog,Crime,,,101.89,236.59,198.00,15.00,13.2000,4.3,"Best Picture, Director, Adapted Screenplay"
,Smart People,Independent,50,41,Transformation,Comedy,1106,3700,9.51,2.14,11.65,7.00,1.6645,4.09,
,Space Chimps,Independent*,36,37,Transformation,Animation,2511,2860,30.11,34.73,63.80,37.00,1.7243,7.18,
,Speed Racer,Warner Bros.,38,61,Quest,Action,3606,5174,43.95,50.00,93.40,120.00,0.7783,18.6,
,Star Wars: The Clone Wars,Independent,19,46,sacrifice,Animation,3452,4233,35.16,33.12,65.60,8.50,7.7176,14.6,
,Step Brothers,Sony,54,68,Comedy,Comedy,3094,10000,100.47,27.64,128.00,65.00,1.9692,30.94,
,Step Up 2: The Streets,Disney,26,81,underdog,Drama,2470,7655,58.02,92.80,148.20,17.50,8.4686,18.91,
,Stop-Loss,Paramount,65,27,Tragedy,Drama,1291,3528,10.92,0.26,11.18,25.00,0.4470,4.56,
,Street Kings,Fox,37,62,The Riddle,Action,2467,5054,26.42,39.15,63.60,20.00,3.1800,12.5,
,Superhero Movie,The Weinstein Company,15,36,Comedy,Comedy,2960,3212,25.87,45.35,71.10,65.00,1.0938,9.51,
,Swing Vote,Disney,36,44,maturation,Comedy,2213,2815,16.29,1.34,33.40,20.00,1.6700,6.23,
,The Bank Job,Independent,78,74,Quest,Thriller,1603,3702,30.06,34.76,63.80,20.00,3.1900,5.94,
,The Boy in the Striped Pyjamas,Independent,63,84,Tragedy,Drama,,,8.70,31.37,33.00,12.50,2.6400,1.03,
,The Chronicles of Narnia: Prince Caspian,Disney,66,78,fish out of water,Action,3929,14007,141.62,278.04,419.60,200.00,2.0980,55.03,
,The Curious Case of Benjamin Button,Warner Bros.,73,81,love,Fantasy,2988,8987,79.01,206.42,322.00,160.00,2.0125,26.85,
,The Dark Knight,Warner Bros.,94,96,Revenge,Thriller,4366,36283,530.92,468.58,996.90,185.00,5.3886,158.4,Supporting Actor
,The Day the Earth Stood Still,Fox,19,34,Sacrifice,Thriller,3560,8562,74.30,153.73,230.00,100.00,2.3000,30.5,
,The Duchess,Paramount,60,68,Love,Drama,,,13.85,29.46,34.30,13.50,2.5407,3.3,
,The Express,Independent,62,73,Maturation,Biopic,2808,1625,9.79,0.01,9.81,37.50,0.2616,4.56,
,The Eye,Lionsgate,22,51,Sacrifice,Horror,2436,5101,31.42,25.55,56.80,12.00,4.7333,12.4,
,The Forbidden Kingdom,Relativity Media,64,65,journey & return,Action,3151,6791,52.08,75.90,128.80,55.00,2.3418,21.4,
,The Incredible Hulk,Universal,67,75,Metamorphosis,Action,3505,15810,134.53,128.62,262.50,137.50,1.9091,55.14,
,The Longshots,Independent,39,39,Quest,Comedy,2089,1953,11.51,0.23,11.74,30.00,0.3914,4,
,The Love Guru,Paramount,14,38,Comedy,Comedy,3505,15810,32.20,8.63,40.80,62.00,0.6581,13.91,
,The Other Boleyn Girl,Independent,41,65,tragedy,Drama,1166,7035,26.81,50.90,77.20,40.00,1.9300,8.2,
,The Ruins,Paramount,46,32,rescue,Horror,2812,2846,17.43,5.30,22.60,25.00,0.9040,8,
,The Secret Life of Bees,Fox,56,78,Maturation,Drama,1591,6617,37.43,2.18,37.80,11.00,3.4364,10.53,
,The Spiderwick Chronicles,Paramount,79,67,fish out of water,Fantasy,3847,4940,71.20,91.64,162.80,92.50,1.7600,19,
,The Spirit,Lionsgate,14,29,rivalry,Action,2509,2576,17.75,19.23,21.50,6.00,3.5833,6.5,
,The Strangers,Relativity Media,44,48,Escape,Horror,2466,8515,52.60,29.79,77.60,9.00,8.6222,20.99,
,The Tale of Despereaux,Universal,54,46,Rescue,Animation,3104,3255,50.87,37.84,88.72,55.00,1.6131,10.1,
,The Visitor,Independent,92,83,Transformation,Drama,,,9.43,8.65,18.08,4.00,4.5195,0.09,
,The Women,Warner Bros.,13,41,Transformation,Drama,2962,3415,26.90,23.11,46.10,16.00,2.8813,10.12,
,The X-Files: I Want to Believe,Fox,32,34,monster force,Thriller,3185,3147,20.98,47.39,68.30,35.00,1.9514,10.1,
,Traitor,Liberty Starz,55,66,Pursuit,Thriller,2054,3831,23.53,4.13,25.30,22.00,1.1500,7.9,
,Transporter 3,Independent,36,58,escape,Action,2626,4594,31.72,77.26,60.90,30.00,2.0300,12.06,
,Tropic Thunder,Paramount,83,69,fish out of water,Comedy,3319,7777,110.46,77.58,188.00,90.00,2.0889,25.81,
,Twilight,Summit,49,82,Love,Romance,3419,20368,176.82,199.85,246.50,37.00,6.6622,69.64,
,Tyler Perry's Meet the Browns,Independent,31,36,Discovery,Drama,2006,10011,41.98,0.00,41.98,20.00,2.0990,20.08,
,Tyler Perry's The Family That Preys,Independent,51,36,Discovery,Drama,2070,8397,37.11,0.00,37.11,10.00,3.7110,17.38,
,Untraceable,Independent,14,56,riddle,Thriller,2368,4795,28.69,23.97,52.50,35.00,1.5000,11.4,
,Valkyrie,MGM,58,66,Sacrifice,Thriller,2711,7756,60.69,117.20,184.00,75.00,2.4533,21.03,
,Vicky Cristina Barcelona,The Weinstein Company,82,73,temptation,Romance,692,5427,22.84,,77.20,16.00,4.8250,3.76,
,WALL-E,Disney,96,89,love,Animation,3992,15803,223.78,,507.30,180.00,2.8183,63.09,Animated
,Wanted,Universal,73,72,Transformation,Action,3175,16040,134.33,,342.10,75.00,4.5613,50.93,
,"Welcome Home, Roscoe Jenkins",Universal,24,64,discovery,Comedy,2387,6790,42.19,,43.40,27.50,1.5782,16.21,
,What Happens in Vegas,Fox,28,72,Love,Comedy,3215,6274,80.28,,219.30,150.00,1.4620,20.17,
,Yes Man,Warner Bros.,43,72,Transformation,Comedy,3434,5318,79.41,,113.40,50.00,2.2680,18.26,
,You Don't Mess with the Zohan,Sony,36,50,fish out of water,Comedy,3462,11130,100.02,,201.80,80.00,2.5225,38.53,
,Zack and Miri Make a Porno,The Weinstein Company,64,70,Love,Romance,3735,3680,31.30,,36.60,24.00,1.5250,10.07,
