exclude,Film,Major Studio,Rotten Tomatoes,Audience Score,Story,Genre,Number of Theatres in Opening Weekend,Box Office Average per Cinema,Domestic Gross,Foreign Gross,Worldwide Gross,Budget ,Market Profitability,Opening Weekend,Oscar,Bafta,Source,,Domestic Gross,Foreign Gross,worldwide,Budget,budget 
,,,,,,,,($),($m),($m),($m),,% of budget recovered,,,,all boxofficemojo.com except otherwise stated,,($m),($m),($m),($m),
,Hancock,Sony,40,67,Discovery,Action,3965,15789,227.95,396.44,624.40,150.00,4.1627,62.6,,,,,227946274,,624.4,150000000,150
,Harold and Kumar Escape from Guantanamo Bay,Warner Bros.,54,65,escape,Adventure,2510,5939,38.11,5.38,43.30,12.00,3.6083,14.91,,,,,38108728,,43.3,12000000,12
,Hellboy II: The Golden Army,Universal,87,70,sacrifice,Action,3204,10780,75.79,84.40,158.90,82.50,1.9261,34.5,,,,,75791785,,158.9,82500000,82.5
,High School Musical 3: Senior Year,Disney,65,76,love,Comedy,3623,11601,89.70,162.35,240.70,11.00,21.8818,42.03,,,,,89695501,,240.7,11000000,11
,Igor,Independent,36,42,Temptation,Animation,2339,,19.44,11.22,27.60,30.00,0.9200,7.8,,,,,19444296,,27.6,30000000,30
,In Bruges,Independent,81,85,Fish Out of Water,Crime,,,7.80,25.59,32.00,15.00,2.1333,0.46,,,http://www.the-numbers.com/movies/2008/BRUGE.php,,7800824,,32,,0
,Indiana Jones and the Kingdom of the Crystal Skull,Paramount,77,59,Pursuit,Action,4260,23507,317.02,469.53,786.60,185.00,4.2519,100.1,,,,,317023851,,786.6,185000000,185
,Iron Man,Paramount,94,91,Metamorphosis,Action,4105,24024,318.31,266.76,581.90,186.00,3.1285,98.62,,,,,318313199,,581.9,186000000,186
,Journey to the Center of the Earth,Warner Bros.,61,55,Quest,Action,2811,7477,101.70,140.29,220.70,45.00,4.9044,21,,,,,101704370,,220.7,45000000,45
,Jumper,Fox,16,50,Rescue,Action,3428,7980,80.17,142.06,222.20,82.50,2.6933,27.4,,,,,80172128,,222.2,82500000,82.5
,Kit Kittredge: An American Girl,Warner Bros.,78,26,riddle,Drama,,,17.66,N/A,17.70,10.00,1.7700,3.3,,,,,17657973,,17.7,10000000,10
,Kung Fu Panda,Paramount,88,83,Underdog,Animation,4114,14642,215.43,416.31,631.90,200.00,3.1595,60.24,,,,,215434591,,631.9,200000000,200
,Lakeview Terrace,Sony,46,44,rivalry,Crime,2464,6090,39.26,5.39,43.80,20.00,2.1900,15,,,,,39263506,,43.8,20000000,20
,Leatherheads,Universal,52,41,Rivalry,Comedy,2769,4580,31.23,9.93,41.00,58.00,0.7069,12.7,,,,,31230175,,41,58000000,58
,Mad Money,Independent,22,51,Comedy,Comedy,2470,3132,20.67,5.74,26.10,22.00,1.1864,7.74,,,,,20668843,,26.1,22000000,22
,Madagascar: Escape 2 Africa,Paramount,64,73,Journey and Return,Animation,4056,1559,176.93,423.89,462.30,150.00,3.0820,63.11,,,,,176934000,,462.3,150000000,150
,Made of Honor,Sony,13,61,Love,Comedy,2729,5407,46.01,59.95,106.00,40.00,2.6500,14.76,,,,,46012734,,106,40000000,40
,Mamma Mia!,Universal,53,76,Love,Comedy,2976,9325,143.76,465.71,572.20,66.00,8.6697,27.75,,,,,143762955,,572.2,66000000,66
,Marley and Me,Fox,63,77,love,Comedy,3480,10448,106.51,99.56,111.80,55.00,2.0327,36.36,,,,,106510000,,111.8,55000000,55
,Max Payne,Fox,16,36,Revenge,Action,3376,5225,40.66,44.73,84.20,35.00,2.4057,17.6,,,,,40656894,,84.2,35000000,35
,Meet Dave,Fox,19,42,Fish Out of Water,Adventure,3011,1744,11.80,38.85,50.50,60.00,0.8417,5.25,,,,,11803254,,50.5,60000000,60
,Meet the Spartans,Independent,2,31,comedy,Comedy,2605,7104,38.23,46.41,84.60,30.00,2.8200,18.51,,,,,38233676,,84.6,30000000,30
,Milk,Universal,94,88,quest,Biography,36,40385,31.84,18.32,50.16,20.00,2.5080,1.5,"Best Actor, Original Screenplay",,http://www.the-numbers.com/movies/2008/HMILK.php,,17124000,,,20000000,20
y,Miracle at St. Anna,,34,68,quest,Action,1185,2935,7.92,1.20,9.11,45.00,0.2024,3.5,,,http://www.the-numbers.com/movies/2008/MSANA.php,,7919117,,,45000000,45
,Mirrors,Independent,14,49,monster force,Horror,2664,4190,30.69,46.80,73.40,35.00,2.0971,11.2,,,,,30691439,,73.4,35000000,35
,Miss Pettigrew Lives for a Day,Independent,78,70,Love,Comedy,535,4655,12.31,2.86,15.17,60.00,0.2528,2.49,,,,,12313694,,,60000000,60
,My Best Friend's Girl,Lionsgate,14,51,Comedy,Comedy,2604,3174,19.22,22.40,36.20,20.00,1.8100,8.27,,,,,19219250,,36.2,20000000,20
y,Never Back Down,,23,37,Rivalry,Action,2729,3152,24.85,16.78,41.60,21.00,1.9810,8.6,,,,,24850922,,41.6,21000000,21
y,Nick and Norah's Infinite Playlist,,73,67,Love,Comedy,2421,4672,31.49,,31.70,10.00,3.1700,11.31,,,,,31487293,,31.7,10000000,10
y,Nights in Rodanthe,,31,56,Discovery,Drama,2704,4962,41.74,,75.70,30.00,2.5233,13.42,,,,,41736813,,75.7,30000000,30
,Nim's Island,Independent,51,50,rescue,Adventure,3513,3760,48.01,52.07,99.90,37.00,2.7000,13.2,,,,,48006762,,99.9,37000000,37
y,One Missed Call,,0,36,Monster Force,Horror,2240,5585,26.89,,44.50,20.00,2.2250,12.5,,,,,26890041,,44.5,20000000,20
y,Over Her Dead Body,,15,47,Love,Comedy,,,0.00,,20.90,10.00,2.0900,4.03,,,,,,,20.9,10000000,10
,Penelope,Summit,52,74,love,Comedy,,,10.01,10.73,20.75,15.00,1.3833,3.8,,,,,10011996,,20.8,15000000,15
,Pineapple Express,Sony,68,74,Comedy,Action,3072,7567,87.34,14.28,101.50,26.00,3.9038,23.2,,,,,87341380,,101.5,26000000,26
,Pride & Glory,Warner Bros.,34,54,Temptation,Crime,2585,2423,15.74,15.41,23.80,30.00,0.7933,6.26,,,,,15740721,,23.8,30000000,30
,Prom Night,Independent,8,46,escape,Horror,2700,7705,43.87,,57.20,18.00,3.1778,20.81,,,,,43869350,,57.2,18000000,18
,Punisher: War Zone,Lionsgate,27,47,Revenge,Action,2508,1703,8.05,0.15,8.19,30.00,0.2730,4.3,,,,,8050977,,,30000000,30
,Quantum of Solace,MGM,64,62,Revenge,Action,3451,19568,166.80,,567.00,230.00,2.4652,67.5,,,,,166800000,,567,230000000,230
,Quarantine,Sony,59,46,Monster Force,Horror,2461,5775,31.69,,37.20,12.00,3.1000,14.2,,,,,31691811,,37.2,12000000,12
,Rachel Getting Married,Independent,85,61,love,Drama,,,10.33,0.53,10.86,12.00,0.9047,0.29,,,http://www.the-numbers.com/movies/2008/RGMRD.php,,10326000,,,12000000,12
,Rambo,Lionsgate,36,70,Rescue,Action,2751,6617,42.75,,113.20,47.50,2.3832,18.2,,,,,42754105,,113.2,47500000,47.5
y,Religulous,,70,78,comedy,Documentary,502,6792,13.01,0.12,13.14,2.50,5.2541,3.41,,,http://www.the-numbers.com/movies/2008/RELIG.php,,13011160,,,2500000,2.5
y,Righteous Kill,,19,44,The Riddle,Crime,3152,5168,40.08,,74.00,60.00,1.2333,16.3,,,,,40081410,,74,60000000,60
,Role Models,Universal,77,75,Discovery,Comedy,2792,6865,66.69,25.09,66.70,28.00,2.3821,19.17,,,,,66688000,,66.7,28000000,28
,Saw V,Independent,13,63,Monster Force,Crime,3030,9822,56.75,57.12,103.60,10.80,9.5926,30.1,,,,,56746769,,103.6,10800000,10.8
,Semi-Pro,Warner Bros.,21,41,underdog,Comedy,3121,4830,33.48,10.41,43.90,2.60,16.8846,15.08,,,,,33479698,,43.9,2600000,2.6
y,Seven Pounds,,27,77,Sacrifice,Drama,2758,5385,60.04,,61.40,54.00,1.1370,14.9,,,,,60038000,,61.4,54000000,54
,Sex and the City,Warner Bros.,49,81,love,Comedy,3285,17363,152.65,262.61,415.10,57.50,7.2191,57.04,,,,,152647258,,415.1,57500000,57.5
,Sex Drive,Summit,46,61,Journey and Return,Adventure,2421,1490,8.40,2.01,10.41,19.00,0.5479,3.61,,,,,8402485,,,19000000,19
y,Shutter,,7,40,Monster Force,Horror,2753,3794,25.93,,47.80,8.00,5.9750,10.5,,,,,25928550,,47.8,,0
,Slumdog Millionaire,Independent,94,90,Underdog,Crime,,,101.89,236.59,198.00,15.00,13.2000,4.3,"Best Picture, Director, Adapted Screenplay","Best Film, Director, Adapted Screenplay",,,101890000,,198,15000000,15
,Smart People,Independent,50,41,Transformation,Comedy,1106,3700,9.51,2.14,11.65,7.00,1.6645,4.09,,,http://www.the-numbers.com/movies/2008/SMPEP.php,,9511289,,,7000000,7
,Soul Men,The Weinstein Company,45,42,Comedy,Comedy,2044,2643,12.08,0.25,12.33,0.00,,5.4,,,http://www.boxofficemojo.com/movies/?id=soulmen.htm,,12009235,,,,0
,Space Chimps,Independent*,36,37,Transformation,Animation,2511,2860,30.11,34.73,63.80,37.00,1.7243,7.18,,,"* Co-production partnership with Digital Production Studios, a subsidiary of IDT Media.",,30105968,,63.8,37000000,37
,Speed Racer,Warner Bros.,38,61,Quest,Action,3606,5174,43.95,50.00,93.40,120.00,0.7783,18.6,,,,,43945766,,93.4,120000000,120
,Star Wars: The Clone Wars,Independent,19,46,sacrifice,Animation,3452,4233,35.16,33.12,65.60,8.50,7.7176,14.6,,,,,35161554,,65.6,8500000,8.5
,Step Brothers,Sony,54,68,Comedy,Comedy,3094,10000,100.47,27.64,128.00,65.00,1.9692,30.94,,,,,100468793,,128,65000000,65
,Step Up 2: The Streets,Disney,26,81,underdog,Drama,2470,7655,58.02,92.80,148.20,17.50,8.4686,18.91,,,,,58017783,,148.2,17500000,17.5
,Stop-Loss,Paramount,65,27,Tragedy,Drama,1291,3528,10.92,0.26,11.18,25.00,0.4470,4.56,,,http://www.the-numbers.com/movies/2008/STOPL.php,,10915744,,,25000000,25
,Street Kings,Fox,37,62,The Riddle,Action,2467,5054,26.42,39.15,63.60,20.00,3.1800,12.5,,,,,26418667,,63.6,20000000,20
,Superhero Movie,The Weinstein Company,15,36,Comedy,Comedy,2960,3212,25.87,45.35,71.10,65.00,1.0938,9.51,,,,,25874034,,71.1,65000000,65
,Swing Vote,Disney,36,44,maturation,Comedy,2213,2815,16.29,1.34,33.40,20.00,1.6700,6.23,,,,,16289867,,33.4,20000000,20
,The Bank Job,Independent,78,74,Quest,Thriller,1603,3702,30.06,34.76,63.80,20.00,3.1900,5.94,,,,,30060660,,63.8,20000000,20
,The Boy in the Striped Pyjamas,Independent,63,84,Tragedy,Drama,,,8.70,31.37,33.00,12.50,2.6400,1.03,,,,,8704790,,33,12500000,12.5
,The Chronicles of Narnia: Prince Caspian,Disney,66,78,fish out of water,Action,3929,14007,141.62,278.04,419.60,200.00,2.0980,55.03,,,,,141621490,,419.6,200000000,200
,The Curious Case of Benjamin Button,Warner Bros.,73,81,love,Fantasy,2988,8987,79.01,206.42,322.00,160.00,2.0125,26.85,,,,,79011000,,322,160000000,160
,The Dark Knight,Warner Bros.,94,96,Revenge,Thriller,4366,36283,530.92,468.58,996.90,185.00,5.3886,158.4,Supporting Actor,Supporting Actor,,,530917814,,996.9,185000000,185
,The Day the Earth Stood Still ,Fox,19,34,Sacrifice,Thriller,3560,8562,74.30,153.73,230.00,100.00,2.3000,30.5,,,,,74299000,,230,100000000,100
,The Duchess,Paramount,60,68,Love,Drama,,,13.85,29.46,34.30,13.50,2.5407,3.3,,,,,13848978,,34.3,13500000,13.5
,The Express,Independent,62,73,Maturation,Biopic,2808,1625,9.79,0.01,9.81,37.50,0.2616,4.56,,,http://www.the-numbers.com/movies/2008/EXPRS.php,,9643725,,,37500000,37.5
,The Eye,Lionsgate,22,51,Sacrifice,Horror,2436,5101,31.42,25.55,56.80,12.00,4.7333,12.4,,,,,31418697,,56.8,12000000,12
,The Forbidden Kingdom,Relativity Media,64,65,journey & return,Action,3151,6791,52.08,75.90,128.80,55.00,2.3418,21.4,,,,,52075270,,128.8,55000000,55
y,The Happening,,19,29,escape,Thriller,2986,10220,64.51,,163.40,60.00,2.7233,30.52,,,,,64506874,,163.4,60000000,60
y,The Haunting of Molly Hartley,,3,22,sacrifice,Horror,2352,2045,13.56,1.33,14.89,5.00,2.9780,5.4,,,,,13477895,,,5000000,5
y,The House Bunny,,39,54,Discovery,Comedy,2714,5355,0.00,,70.00,25.00,2.8000,14.53,,,,,,,70,25000000,25
,The Incredible Hulk,Universal,67,75,Metamorphosis,Action,3505,15810,134.53,128.62,262.50,137.50,1.9091,55.14,,,,,134533885,,262.5,137500000,137.5
,The Longshots,Independent,39,39,Quest,Comedy,2089,1953,11.51,0.23,11.74,30.00,0.3914,4,,,,,11511323,,,30000000,30
,The Love Guru,Paramount,14,38,Comedy,Comedy,3505,15810,32.20,8.63,40.80,62.00,0.6581,13.91,,,,,32200122,,40.8,62000000,62
y,The Mummy: Tomb of the Dragon Emperor,,14,40,Quest,Action,3760,10760,102.28,,393.20,175.00,2.2469,40.5,,,,,102277510,,393.2,175000000,175
,The Other Boleyn Girl,Independent,41,65,tragedy,Drama,1166,7035,26.81,50.90,77.20,40.00,1.9300,8.2,,,,,26814957,,77.2,40000000,40
y,The Pirates Who Don't Do Anything,,41,,Fish Out of Water,,,,12.73,0.17,12.90,15.00,0.8598,4.25,,,,,12727025,,,15000000,15
,The Ruins,Paramount,46,32,rescue,Horror,2812,2846,17.43,5.30,22.60,25.00,0.9040,8,,,,,17432844,,22.6,25000000,25
,The Secret Life of Bees,Fox,56,78,Maturation,Drama,1591,6617,37.43,2.18,37.80,11.00,3.4364,10.53,,,,,37434318,,37.8,11000000,11
y,The Sisterhood of the Traveling Pants 2,,63,,Journey and Return,,2707,3945,44.09,,44.20,27.00,1.6370,10.68,,,,,44089964,,44.2,27000000,27
