exclude,Film ,Lead Studio,Rotten Tomatoes %,Audience  score %,Story,Genre,Number of Theatres in US Opening Weekend,Box Office Average per US Cinema (Opening Weekend),Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Profitability,Opening Weekend,Oscar,Bafta,Source,,,,,
,,,,,,,,($),($m),($m),($m),($m),% of budget recovered,($m),,,,,,,,
,Rio,20th Century Fox,71,73,Quest,Animation,3826,10252,143.62,341.02,484.63,90,538.48%,39.23,,,http://boxofficemojo.com/movies/?id=rio.htm,,,,,
,Rango,Paramount,88,69,Fish Out Of Water,Animation,3917,9722,123.26,121.90,245.15,135,181.60%,38.08,,,http://boxofficemojo.com/movies/?id=rango.htm,,,,,
,Cowboys and Aliens,Universal,44,50,Monster Force,Action,3750,9715,100.24,74.58,174.82,163,107.25%,36.43,,,http://boxofficemojo.com/movies/?id=cowboysandaliens.htm,,,,,
,The Green Hornet,Columbia,44,47,Rivalry,Action,3584,9335,98.80,129.00,227.80,120,189.83%,33.50,,,http://boxofficemojo.com/movies/?id=greenhornet.htm,,,,,
,Horrible Bosses,Warner Bros,69,72,Revenge,Comedy,3040,9310,117.54,92.10,209.64,35,598.97%,28.30,,,http://boxofficemojo.com/movies/?id=horriblebosses.htm,,,,,
,Bridesmaids,Relativity Media,90,77,Rivalry,Comedy,2918,8995,169.11,119.28,288.38,32.5,887.33%,26.25,,,http://boxofficemojo.com/movies/?id=wiigapatow.htm,,,,,
,Hugo,Paramount,93,84,,Adventure,1277,8899,,,,,,11.36,,,,,,,,
,Puss In Boots,DreamWorks,83,76,Quest,Animation,3952,8623,142.09,142.30,284.39,130,218.76%,34.08,,,http://boxofficemojo.com/movies/?id=pussinboots12.htm,,,,,
,Just Go With It,Happy Madison,19,63,Comedy,Romance,3548,8601,103.03,111.92,214.95,80,268.68%,30.51,,,http://boxofficemojo.com/movies/?id=thepretendwife.htm,,,,,
,The Muppets,Disney,97,87,Quest,Comedy,3440,8500,66.63,5.80,72.43,45,160.95%,29.24,,,http://boxofficemojo.com/movies/?id=themuppets.htm,,,,,
