Box Office Average per Cinema,Number of Theatres in Opening Weekend,Opening Weekend,Market Profitability,Worldwide Gross,Domestic Gross,Foreign Gross,Budget,Film ,Major Studio,Rotten Tomatoes,Audience Score,Story,Genre,Oscar,Bafta
12077,3287,39.7,2.82,253.63,168.27,85.35,90.00,Wild Hogs,Disney,14,72,Transformation,Comedy,,
11935,3940,47,4.14,621.42,206.45,414.98,150.00,Ratatouille,Disney,97,84,Transformation,Animation,Animated,Animated
11686,3832,44.8,3.52,457.36,219.96,237.40,130.00,National Treasure: Book of Secrets,Disney,31,72,The Riddle,Thriller,,
11211,2948,33,8.49,169.87,121.46,48.41,20.00,Superbad,Sony,88,87,Comedy,Comedy,,
10904,3136,34.2,2.66,159.31,95.67,63.64,60.00,Norbit,Paramount,9,56,Comedy,Comedy,,
10690,2871,30.7,6.64,219.00,148.77,70.23,33.00,Knocked Up,Universal,91,83,Love,Comedy,,
10645,2051,21.9,5.39,75.51,61.36,14.15,14.00,Stomp the Yard,Independent,27,83,Maturation,Musical,,
10618,2011,21.4,3.72,55.86,55.20,0.66,15.00,Tyler Perry's Why Did I get Married,Independent,46,47,Love,Romance,,
10436,1019,10.6,30.82,231.18,143.50,87.69,7.50,Juno,Fox,94,89,Maturation,Comedy,Original Screenplay,Original Screenplay
10135,3565,36.1,3.66,311.31,117.15,194.16,85.00,Ocean's 13,Warner Bros.,70,74,Revenge,Thriller,,
($),,($m),% of budget recovered,($m),($m),($m),($m),,,,,,,,
,,25.78,360.82%,191.47,86.10,105.38,62.93,Average,,51,,,,,
,,13.6,3.65,145.90,50.57,95.32,40.00,Music and Lyrics,Warner Bros.,63,70,Love,Romance,,
