Box Office Average per US Cinema (Opening Weekend),Number of Theatres in US Opening Weekend,Opening Weekend,Profitability,Worldwide Gross,Domestic Gross,Foreign Gross,Budget,Film ,Lead Studio,Rotten Tomatoes %,Audience  score %,Story,Genre,Oscar,Bafta
,,?,0.28,1.10,1.10,?,4,Red State,Independant,57,59,Escape,Horror,,
,,8.60,13.88,41.63,,,3,Never Back Down 2: The Beatdown,Sony,?,?,Rivalry,Action,,
,,0.79,0.54,2.71,2.71,,5,Everything Must Go,Reliance Entertainment,74,53,Discovery,Drama,,
,,0.75,0.23,4.63,1.19,3.45,20,Dylan Dog: Dead of Night,Independant,6,28,Monster Force,Horror,,
,,0.56,2.53,8.87,4.94,3.93,3.5,Margin Call,Independant,86,73,Sacrifice,Thriller,,
,,0.30,0.69,6.86,6.86,,10,Cedar Rapids,20th Century Fox,86,61,Maturation,Comedy,,
,,0.18,,30.15,11.24,18.91,??,Jane Eyre,Universal,85,77,Love,Romance,,
,,0.17,0.45,8.97,0.54,8.44,20,A Dangerous Method,Independant,79,89,Love,Drama,,
,,0.14,4.43,14.18,5.79,8.39,3.2,Beginners,Independant,84,80,Love,Comedy,,
,,0.13,0.05,0.38,0.38,??,7,Hesher,Independant,54,68,Wretched Excess,Drama,,
,,0.08,6.61,1.32,1.32,,0.2,Another Earth,Independant,63,74,Temptation,Fantasy,,
,,0.05,0.31,1.57,1.57,?,5,Take Shelter,Independant,92,85,Sacrifice,Drama,,
,,0.05,0.04,1.10,0.54,0.57,30,Machine Gun Preacher,Lionsgate,29,71,Transformation,Action,,
,,0.02,0.09,3.12,0.02,3.10,35,Trespass,Independant,11,24,Escape,Thriller,,
,,0.02,0.00,0.03,0.03,?,15,The Son Of No One,Independant,18,61,Discovery,Thriller,,
,,0.00,0.11,1.07,0.02,1.05,10,Vanishing on 7th Street,Independant,52,62,Monster Force,Horror,,
