Box Office Average per Cinema,Number of Theatres in Opening Weekend (US),Opening Weekend,Proftitability,Worldwide Gross,Domestic Gross,Foreign Gross,Budget,Film ,Lead Studio,Rotten Tomatoes,Audience  score,Story,Genre,Oscar,Bafta
45429,4,0.18,141.71%,9.92,7.47,2.45,7,Cyrus,Independent,80,51,Rivalry,Comedy,,
4507,3575,16.1,174.88%,139.9,55.64,84.26,80,Legend of the Guardians: The Owls of Ga'Hoole,Warner Bros.,51,65,Rivalry,Animation,,
4375,2809,12.3,568.30%,56.83,33.6,23.23,10,Devil,Independent,52,45,Monster Force,Horror,,
4276,2670,11,210.75%,42.15,26.59,15.55,20,Machete,Independent,73,66,Revenge,Action,,
4193,2012,8.4,251.21%,47.73,27.78,19.95,19,The Switch,Independent,52,44,Comedy,Comedy,,
4162,847,3.5,734.25%,29.37,20.81,8.55,4,The Kids Are All Right,Independent,94,72,Comedy,Comedy,,
4092,2470,10.1,332.42%,79.78,25,54.78,24,Piranha 3-D,The Weinstein Company,74,45,Monster Force,Comedy,,
4060,2880,11.69,552.60%,55.26,21.39,33.87,10,Skyline,Independent,16,19,Monster Force,Action,,
3967,2455,9.74,181.77%,54.53,31.68,22.85,30,Love & Other Drugs,Fox,48,55,Love,Comedy,,
3934,3037,11.95,101.96%,56.08,38.24,17.84,55,Burlesque,Paramount,36,66,Rags to Riches,Drama,,
3873,2454,8.52,103.79%,24.91,22.94,1.97,24,Faster,CBS,41,50,Revenge,Action,,
3774,3233,12.2,399.90%,79.98,36.66,43.32,20,Vampires Suck,Independent,4,32,Comedy,Comedy,,
3765,2818,10.6,79.30%,47.58,31.52,16.05,60,Scott Pilgrim vs. the World,Universal,81,83,Underdog,Action,,
3720,3280,12.2,220.29%,77.1,37.49,39.6,35,The Back-up Plan,CBS,20,47,Love,Comedy,,
3678,1873,6.9,109.00%,19.62,15.28,4.34,18,Youth in Revolt,The Weinstein Company,68,52,Love,Comedy,,
3665,2511,9.2,171.63%,32.61,25.9,6.69,19,Leap Year,Universal,21,49,Love,Comedy,,
3657,2212,8,349.06%,55.85,19.07,36.79,16,Remember Me,Summit,28,70,Love,Drama,,
3646,3646,30,167.58%,335.15,90.76,244.39,200,Prince of Persia: The Sands of Time,Disney,36,71,Rivalry,Action,,
3610,3213,11.6,166.72%,83.36,33.64,49.71,50,Marmaduke,Fox,9,46,Rivalry,Comedy,,
3469,2625,9.1,149.55%,29.91,25.12,4.8,20,Alpha and Omega,Crest,17,41,Journey and Return,Animation,,
3445,3445,31,288.35%,288.35,95.35,193,100,Sex and the City 2,Warner Bros.,15,49,Love,Comedy,,
3314,3705,12.3,132.33%,112.48,43.59,68.9,85,Cats & Dogs: The Revenge of Kitty Galore,Independent,13,43,Pursuit,Action,,
3307,2956,9.8,244.05%,48.81,32.01,16.8,20,She's Out of My League,Paramount,57,60,Love,Comedy,,
3300,2548,8.4,159.30%,31.86,25.7,6.16,20,You Again,Independent,18,45,Comedy,Comedy,,
3300,244,0.8,46.80%,4.68,3.57,1.11,10,The Runaways,Independent,68,56,Maturation,Biography,,
3204,2936,9.4,117.52%,29.38,23.59,5.79,25,The Losers,Warner Bros.,47,55,Revenge,Action,,
31143,3728,116.1,512.20%,1024.39,334.19,690.2,200,Alice in Wonderland,Disney,52,72,Journey and Return,Adventure,,
30307,4125,125,764.33%,955.41,295,660,125,Harry Potter and the Deathly Hallows Part 1,Warner Bros.,79,87,Quest,Adventure,,
