Film,Lead Studio,Critic Rating,Audience Rating,Story,Genre,Opening Weekend Theaters,Opening Weekend per Cinema,Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Profitability,Opening Weekend Revenue,Oscar,Bafta
Killer Elite,Independant,25,48,Rivalry,Action,2986,3132,25.12,27.84,52.96,70,0.76,9.35,,
Don't Be Afraid Of The Dark,Miramax Films,59,37,Monster Force,Horror,2760,3089,24.05,7.50,31.55,25,1.26,8.53,,
Dream House,Morgan Creek Productions,7,38,The Riddle,Horror,2661,3055,21.30,17.20,38.50,50,0.77,8.13,,
Monte Carlo,20th Century Fox,38,50,Love,Romance,2473,3014,23.18,16.48,39.66,20,1.98,7.45,,
Shark Night 3D,Relativity,16,25,Escape,Horror,2806,2995,18.88,19.83,38.70,25,1.55,8.40,,
Waiting For Forever,Independant,6,53,Love,Romance,3,2972,0.03,?,0.03,5,0.01,0.01,,
One Day,Independant,37,54,Love,Romance,1719,2955,13.84,41.40,55.24,15,3.68,5.08,,
The Three Musketeers,Independant,24,48,Rivalry,Action,3017,2875,20.25,111.90,132.15,75,1.76,8.67,,
The Thing,Universal,36,52,Monster Force,Horror,2996,2835,16.93,10.50,27.43,38,0.72,8.49,,
Warrior,Lionsgate,83,93,Rivalry,Action,1869,2805,13.66,9.40,23.06,25,0.92,5.24,,
Our Idiot Brother,The Weinstein Company,68,79,Comedy,Comedy,2555,2744,24.82,??,24.82,5,4.96,,,
Apollo 18,Weinstein Company,23,31,Monster Force,Horror,3328,2615,17.69,7.88,25.56,5,5.11,8.70,,
Fright Night,DreamWorks,75,68,Rivalry,Horror,3114,2477,18.30,18.80,37.10,30,1.24,7.71,,
Johnny English Reborn,Relativity Media,38,55,Comedy,Comedy,1552,2470,8.31,149.63,157.94,45,3.51,3.83,,
Drive Angry,Independant,45,38,Rescue,Action,2990,2265,10.72,18.21,28.93,45,0.64,5.19,,
The Rum Diary,Independant,50,48,Discovery,Drama,2273,2259,13.07,8.48,21.55,45,0.48,5.14,,
Priest,Sony,17,37,Monster Force,Action,2864,2221,29.14,49.17,78.31,60,1.31,14.95,,
Mars Needs Moms,Disney,36,43,Rescue,Animation,3117,2218,21.39,17.60,38.99,150,0.26,6.91,,
What's Your Number,20th Century Fox,24,50,Transformation,Comedy,3002,1806,14.01,16.42,30.43,20,1.52,5.42,,
Take Me Home Tonight,Relativity,28,46,Discovery,Comedy,2003,1730,6.93,?,6.93,25,0.28,3.46,,
The Big Year,Independant,38,62,Transformation,Comedy,2150,1513,7.17,0.24,7.41,41,0.18,3.25,,
Never Back Down 2: The Beatdown,Sony,?,?,Rivalry,Action,,,,,41.63,3,13.88,8.60,,
A Dangerous Method,Independant,79,89,Love,Drama,,,0.54,8.44,8.97,20,0.45,0.17,,
Take Shelter,Independant,92,85,Sacrifice,Drama,,,1.57,?,1.57,5,0.31,0.05,,
Beginners,Independant,84,80,Love,Comedy,,,5.79,8.39,14.18,3.2,4.43,0.14,,
Jane Eyre,Universal,85,77,Love,Romance,,,11.24,18.91,30.15,??,,0.18,,
Another Earth,Independant,63,74,Temptation,Fantasy,,,1.32,,1.32,0.2,6.61,0.08,,
Margin Call,Independant,86,73,Sacrifice,Thriller,,,4.94,3.93,8.87,3.5,2.53,0.56,,
Machine Gun Preacher,Lionsgate,29,71,Transformation,Action,,,0.54,0.57,1.10,30,0.04,0.05,,
Hesher,Independant,54,68,Wretched Excess,Drama,,,0.38,??,0.38,7,0.05,0.13,,
Vanishing on 7th Street,Independant,52,62,Monster Force,Horror,,,0.02,1.05,1.07,10,0.11,0.00,,
Cedar Rapids,20th Century Fox,86,61,Maturation,Comedy,,,6.86,,6.86,10,0.69,0.30,,
The Son Of No One,Independant,18,61,Discovery,Thriller,,,0.03,?,0.03,15,0.00,0.02,,
Red State,Independant,57,59,Escape,Horror,,,1.10,?,1.10,4,0.28,?,,
Everything Must Go,Reliance Entertainment,74,53,Discovery,Drama,,,2.71,,2.71,5,0.54,0.79,,
Dylan Dog: Dead of Night,Independant,6,28,Monster Force,Horror,,,1.19,3.45,4.63,20,0.23,0.75,,
Trespass,Independant,11,24,Escape,Thriller,,,0.02,3.10,3.12,35,0.09,0.02,,
